Q,A
응 응 응 응 응 응 응 응가 ,새 해 배 개 집 일 입 이 꿀 불 귤 물 피 쥐 비 귀 콩 돈 공 손 풀 붓 뿔 윷 잎 씨 빗 침 벌 성 별 형 초 눈 코 문 햄 잼 뱀 책 실 십 칠 김 종 총 용 똥 털 몸 절 톱 강 발 왕 달 뼈 영 혀 병 밤 활 감 탈 꽃 점 솥 섬 금 육 은 흙 산 파 삼 차 춤 국 꿈 북 칼 말 쌀 팔 떡 컵 턱 껌 방 빵 창 양 오 곰 소 돌 약 탑 닭 밥 귀 남 해 밀 옷 잔 댁 겁 시 병 소 점 키 앞 무 논 자 글 용 겉 다 뜰 피 상 네 벌 추 만 죄 일 구 삼 도 알 꽃 연 달 혀 녹 김 약 덕 조 군 잎 폐 꿈 터 샘 능 아 애 어 에 오 우 으 이 야 얘 여 예 와 왜 외 요 워 웨 위 유 의 가 까 나 다 따 라 마 바 빠 사 싸 자 짜 차 카 타 파 하
거울 안경 전화 신발 나무 아위 아과 모자 풍선 당근 연비 자 날개 창문 동생 약국 호박 다연 거울 토끼 회사 노래 신발 번역 바람 토끼 병완 등대 논밭 과일 봄꽃 딸기 문제 나무 직장 바위 그림 아들 팥죽 동생 목표 냄새 닫아 자연 one two 방석 ,거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 자연 거울 토끼 회사 노래 신발 딸기 나무 참새 달걀 우산 학교 장갑 그림 풍선 전화 병원 과일 땅콩 편지 달걀 시간 육군 신발 땅콩 안개 마음 허리 욕심 노래 저녁 사람 토끼 병원 등대 논밭 과일 송곳 딸기 문제 나무 극장 가위 그림 아들 팥죽 동생 목표 냄새 바다 자연 접시 권투 방석 느낌 
나는 바지를 입고 단추를 채웁니다 책상 위에 가방이 있습니다 가방에 사탕과 연필을 넣을 거예요 아빠와 자동차를 타고 동물원에 갑니다 잘 다녀와 하면서 엄마가 뽀뽀를 해 줍니다 그림을 못 두 개에 걸려 있습니다 로봇은 긴 눈썹 괴물과 싸움을 합니다 나무에는 참새 세 마리가 짹짹 거리고 나무아래 메뚜기가 있습니다 전화를 합니다 엄마 동물원 재미있어요 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림을 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. n/ 나무에는 참새 세 마리가 짹짹 (거리고)/(그리고) 나무 아래 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있어요.
거울 안경 전화 짐벌 나무 가위 사과 모자 동전 당근 연필 기차 날개 창문 동진 야호바 찬연 거울 도끼 회자 노래 신발 저녁 사람 도끼 병원 등대 논산 광일 정권 딸기 문제 나무 가장 가위 아들 다초 동진 목표 냄새 바다 장현동 ,거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 자연 거울 토끼 회사 노래 신발 딸기 나무 참새 달걀 우산 학교 장갑 그림 풍선 전화 병원 과일 땅콩 편지 달걀 시간 육군 신발 땅콩 안개 마음 허리 욕심 노래 저녁 사람 토끼 병원 등대 논밭 과일 송곳 딸기 문제 나무 극장 가위 그림 아들 팥죽 동생 목표 냄새 바다 자연 접시 권투 방석 느낌
미영이랑 나연이는 단짝입니다 나연이는 노래를 매우 많이 합니다 미영이는 남 몰래 노래를 연마 ,미영이랑 나연이는 단짝입니다. 미영이와 나연이는 노래를 하며 놉니다. 마루 위에 나란히 누워 낭랑히 노래합니다. 나연이는 노래를 매우 많이 압니다. 노래도 더 잘해서 미영이에게 알려 줍니다. 미영이는 음악에 어울리는 안무를 마련합니다. 어느 날 나연이는 미영이를 놀립니다. 자기보다 노래를 못한다고 놀립니다. 미영이는 남몰래 노래를 연마합니다. 미영이의 능력이 나날이 늘어납니다. 그래서 나연이는 더 이상 미영이를 놀릴 수 없게 되었습니다. 나연이는 사과했고 둘은 다시 사이가 좋아졌습니다.
단추 진짜 가방 자동차 경동원 엄마 그림 ,바지 단추 책상 가방 사탕 연필 자동차 동물원 엄마 뽀뽀 호랑이 꼬리 코끼리 땅콩 귀 그네 토끼 풍선 로봇 그림 못 눈썹 괴물 싸움 참새 세마리 짹짹 나무 메뚜기   전화
나는 바지를 입고 단추를 채웁니다 책상 위에 가방이 있습니다 가방과 가방에 사탕과 연필을 넣을 거예요 아빠와 자동차를 타고 동물원에 갑니다 잘 다녀와 하면서 엄마가 뽀뽀를 해 줍니다 그림은 못 두 개 걸려 있습니다 로봇은 긴 눈썹 괴물과 싸움을 합니다 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방과+ 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 아 귀가 아주 큽니다. 아빠와 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있어요.
새해 베개 집 일입니다 밤 활 간판의 아 예 어 예 오 우 으이 야 예여 예와 왜 왜 ,새 해 배 개 집 일 입 이 꿀 불 귤 물 피 쥐 비 귀 콩 돈 공 손 풀 붓 뿔 윷 잎 씨 빗 침 벌 성 별 형 초 눈 코 문 햄 잼 뱀 책 실 십 칠 김 종 총 용 똥 털 몸 절 톱 강 발 왕 달 뼈 영 혀 병 밤 활 감 탈 꽃 점 솥 점 쩜 금 육 은 흙 산 파 삼 차   춤 국 꿈 북 칼 말 쌀 팔 떡 컵 턱 껌 방 빵 창 양 오 곰 소 돌 약 탑 닭 밤 밥 귀 남 해 밀 옷 잔 댁 겁 시 병 소 점 키 앞 무 논 자 글 용 겉 다 뜰 피 상 네 벌 추 만 죄 일 구 삼 도 알 꽃 연 달 혀 녹 김 약 덕 조 군 잎 폐 꿈 터 샘 능 아 애 어 에 오 우 으 이 야 얘 여 예 와 왜 외 요 워 웨 위 유 의 가 까 나 다 따 라 마 바 빠 사 싸 자 짜 차 카 타 파 하 사 짜 자 짜 차 카 타 파 하
거울 안경 단화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 호박 자연 거울 토끼 회의자 노래 신발 딸기 나무 참치 잘가 우산 통꽃 딸기 문제 나무 극장 가위 그림 아들 팥죽 동생 도표 냄새 바다 자연 덥지 권투 방톡 느낌 ,거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 자연 거울 토끼 회사 노래 신발 딸기 나무 참새 달걀 우산 학교 장갑 그림 풍선 전화 병원 과일 땅콩 편지 달걀 시간 육군 신발 땅콩 안개 마음 허리 욕심 노래 저녁 사람 토끼 병원 등대 논밭 과일 송곳 딸기 문제 나무 극장 가위 그림 아들 팥죽 동생 목표 냄새 바다 자연 접시 권투 방석 느낌
나는 그들은 사탕과 동물들은 로봇은 눈썹 왜 물과 싸우면 힘들다 힘들다 힘들다 엄마 동물원 서우 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 풀밭에는 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있어요.
나는 바지를 입고 딴 소리 재웁니다 책장 위에 가방이 있습니다 가방이 땅과 연필 거예요 아빠 왕 자동차를 닷컴 동물원에 갑니다 잘 다녀와 화 아빠가 토끼 문전을 잡았습니다 로봇 그림을 구경합니다 괴물과 자음을 갑니다 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈쩜 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거라고 나무 아래 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있었어요*.
전원 개띠가 태어난 곳은 고양시이고 주도한 곳은 서울시장 출생지인 고양시에서 뱃살까지 살았습니다 아버지는 충북 지역 최신 이시고 어머니는 서울 지역 출신이다 최인호는 오빠 해명이 있고 아래로 여동생 세 명이 있습니다 우리 가족은 아빠 엄마 나 우리 집 근처에는 마트이 있는데 받아서 10분 거리에 있습니다 나는 보통 아침 6시에 일어나고 밤 11시에 잡니다 제가 가장 좋아하는 음식은 떡볶이입니다 티비는 운동입니다 무지개 일곱 색깔은 빨간 해 주황색 노란색 초록색 파란색 보라색입니다 월 화 수 목 금 토 일요일입니다 한라산 ,제 나이는 서른 세 살입니다. 저는 개띠 입니다. 제가 태어난 곳은 고양시이고 주로 산 곳은 서울시입니다. 출생지인 고양시 백 살까지 살았습니다. 아버지는 충북 지역 출신이시고 어머니는 서울 지역 출신이십니다. 제 위로는 오빠 세 명이 있고 아래로 여동생 세 명이 있습니다. 우리 가족은 아빠 엄마 나 그리고 저이고 그래서 모두 네 명입니다. 지금 저랑 같이 살고 있는 사람은 엄마와 아빠입니다. 가족과 주로 하는 이야기는 돈에 대한 것입니다. 친구와 주로 하는 이야기는 취미에 대한 것입니다. 저는 평소에 주로 버스를 타고 다닙니다. 우리 동네는 교통이 편리합니다 교통이 편리한 이유는 집부터 지하철까지 갈 수 있는 교통 수단이 있기 때문입니다.  우리 집에서 서울역에서+ 서울역에 가려면 지하철을 타고 가야 합니다. 우리 집 근처에는 마트이 있는데 걸어서 십 분 거리에 있습니다.  나는 보통 아침 여섯 시에 일어나고 밤 열 한 시에 잡니다. 제가 가장 좋아하는 음식은 떡볶이입니다. 제 취미는 운동입니다.  무지개 일곱 색깔은 빨간색 주황색 노란색 초록색 파란색 보라색입니다. 일주일은 월 화 수 목 금 토 일요일입니다. 설날은 일 월 일 일입니다. 크리스마스는 십 이 월 이십 오 일입니다. 지금 계절은 겨울입니다. 어제는 날씨가 비가 왔고 오늘 날씨는 흐렸다. 일 년은 삼백 육십 오 일이고 일주일은 칠 일입니다. 하루는 사십 팔 시간이고 일 분은 육십 초입니다.
문 열어 문 열어 안아 내일 만나 깨 내려 말려 알려요 특별한 달아요 편안한 노래 해 나 노래해 머리 말려요 물이 말려요 피났어요나요 이나요 머리 말려이 말려요이 말려요 끝났어요 지가 더워요 ,문 열어. 문 열어? 많아. 가 많아? 만나. 내일 만나? 이제 내려. 내려? 말려. 말려? 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 놨어요? 놔. 여기 놔? 놔요. 여기 놔요? 머리 말려. 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 먹었죠. 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 이 얼었어요. 이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 갈래. 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 켜? 날씨가 더워요. 날씨가 더워요?
나는 바다를 입고 단추를 채웁니다 책상 위에 가방이 있습니다 가방을 사탕과 연필을 떡을 거예요 아빠와 자동차를 타고 동물원에 갑니다 아빠가 토끼 풍선을 사 왔습니다 로봇 그림을 구경합니다 싸움을 합니다 짝짝 거리고 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 풀밭에는 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있어요.
제 나이는 스물 여섯 살입니다 제가 태어난 곳은 대구시고시 대구시 수성구 지금은 서울에서 살고 있습니다 우리 가족은 아버지 어머니 누나 그리고 저이고 그래서 모두네 명입니다 지금 저랑 같이 살고 있는 사람은 없습니다 지금 혼자 자취하고 있습니다 가족과 주로 하는 이야기는 요즘 근황이 어떤 것을 하고 있는지에 대한 것입니다 ,제 나이는 스물 여섯 살입니다. 저는  쥐띠입니다. 제가 태어난 곳은 대구시 이고 주로 산 곳은  대구시 수성구 입니다. 지금은 서울에서 살고 있습니다. 출생지인 대구시에서 스무 살까지 살았습니다. 아버지는 영덕 지역 출신이시고 어머니는 영덕 지역 출신이십니다 제 위로는 누나 한 명이 있고 아래로 없습니다. 우리 가족은 아버지 어머니 누나 그리고 저이고 그래서 모두 네 명입니다. 지금 저랑 같이 살고 있는 사람은 없습니다. 지금 혼자 자취하고 있습니다. 가족과 주로 하는 이야기는 요즘 근황에 어떤 것을 하고 있는지에 대한 것입니다. 친구와 주로 하는 이야기는 영상업에 대한 것입니다. 저는 평소에 주로 지하철 타거나 걸어 다닙니다.
해 해 집 1 2 김 야 꿈 터닝네 김 똥 총 용 똥 통 몸 존 강 발 왕 발 뼈 켜 뿅 밤 8 8 꽃 점 속 섬 ,새 해 배 개 집 일 입 이 꿀 불 귤 물 피 쥐 비 귀 콩 돈 공 손 풀 붓 뿔 윷 잎 씨 빗 침 벌 성 별 형 초 눈 코 문 햄 잼 뱀 책 실 십 칠 김 종 총 용 똥 털 몸 절 톱 강 발 왕 달 뼈 영 혀 병 밤 활 감 탈 꽃 점 솥 섬 금 육 은 흙 산 파 삼 차 춤 국 꿈 북 칼 말 쌀 팔 떡 컵 턱 껌 방 빵 창 양 오 곰 소 돌 약 탑 닭 밥 귀 남 해 밀 옷 잔 댁 겁 시 병 소 점 키 앞 무 논 자 글 용 겉 다 뜰 피 상 네 벌 추 만 죄 일 구 삼 도 알 꽃 연 달 혀 녹 녹 김 약 덕 조 군 잎 폐 꿈 터 샘 능 아 애 어 에 오 우 으 이 야 얘 여 예 와 왜 외 요 워 웨 위 유 의 가 까 나 다 따 라 마 바 빠 사 싸 자 짜 차 카 타 파 하
나는 바지를 입고 단추를 채웁니다 책장 위에 가방이 있습니다 사탕과 연필을 넣을 거예요 자동차를 타고 동물원에 갑니다 잘 다녀와 하면서 엄마가 뽀뽀를 해야 됩니다 로봇 그림을 구경합니다 그림은 뭐 두 개 걸려 있습니다 로봇은 긴 눈썹 괴물과 싸움을 합니다 세 마리가 떽떽 거리고 나무 아래 풀밭에는 메뚜기가 있습니다 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 풀밭에는 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있어요.
